name,surface,aces,winner,total_pts
Kevin Anderson,Grass,28.0,False,165.0
Kevin Anderson,Grass,40.0,False,157.0
Novak Djokovic,Grass,13.0,True,181.0
Kevin Anderson,Grass,9.0,False,101.0
Andy Murray,Grass,11.0,True,117.0
Kevin Anderson,Grass,19.0,False,121.0
Tomas Berdych,Grass,11.0,True,124.0
Kevin Anderson,Grass,20.0,False,156.0
Kevin Anderson,Grass,8.0,False,66.0
Novak Djokovic,Grass,7.0,True,93.0
Kevin Anderson,Grass,36.0,False,185.0
Nikolay Davydenko,Grass,9.0,True,189.0
Kevin Anderson,Grass,15.0,False,104.0
Gilles Simon,Clay,0.0,False,98.0
Feliciano Lopez,Grass,32.0,False,146.0
Roger Federer,Hard,6.0,True,80.0
Gilles Simon,Clay,15.0,True,145.0
Rafael Nadal,Clay,3.0,True,82.0
Rafael Nadal,Hard,7.0,True,133.0
Feliciano Lopez,Hard,11.0,True,94.0
Gilles Simon,Grass,3.0,True,95.0
Sam Querrey,Grass,32.0,True,117.0
Fernando Verdasco,Hard,4.0,True,105.0
Sam Querrey,Hard,19.0,True,113.0
David Ferrer,Hard,3.0,True,133.0
Gilles Simon,Hard,12.0,True,104.0
John Isner,Grass,21.0,True,87.0
Fabio Fognini,Hard,5.0,False,107.0
Fernando Verdasco,Hard,21.0,True,110.0
Fernando Verdasco,Hard,10.0,True,106.0
Fernando Verdasco,Hard,20.0,True,182.0
Rafael Nadal,Hard,7.0,False,180.0
Fernando Verdasco,Hard,13.0,True,132.0
Fernando Verdasco,Hard,15.0,True,105.0
Fernando Verdasco,Hard,20.0,True,125.0
Fernando Verdasco,Hard,5.0,True,142.0
Fernando Verdasco,Hard,2.0,True,99.0
Xavier Malisse,Hard,3.0,False,66.0
Fernando Verdasco,Hard,8.0,True,94.0
Fernando Verdasco,Hard,23.0,True,161.0
Janko Tipsarevic,Hard,17.0,False,144.0
Fernando Verdasco,Hard,3.0,True,94.0
Kei Nishikori,Hard,1.0,False,70.0
Fernando Verdasco,Hard,7.0,True,161.0
Fernando Verdasco,Hard,6.0,True,101.0
Fernando Verdasco,Hard,0.0,True,24.0
Fernando Verdasco,Hard,7.0,True,86.0
Fernando Verdasco,Hard,6.0,True,90.0
Fernando Verdasco,Hard,1.0,True,99.0
Radek Stepanek,Hard,2.0,False,55.0
Fernando Verdasco,Hard,10.0,True,137.0
Andy Murray,Hard,7.0,False,138.0
Fernando Verdasco,Hard,7.0,True,129.0
Jo Wilfried Tsonga,Hard,9.0,False,114.0
Fernando Verdasco,Hard,4.0,True,95.0
Fernando Verdasco,Hard,17.0,True,120.0
Fernando Verdasco,Hard,3.0,True,116.0
Fernando Verdasco,Hard,5.0,True,92.0
Fernando Verdasco,Clay,3.0,True,145.0
Fernando Verdasco,Clay,11.0,True,197.0
Fernando Verdasco,Clay,5.0,True,100.0
Fernando Verdasco,Clay,2.0,True,109.0
Fernando Verdasco,Clay,0.0,True,132.0
Fernando Verdasco,Clay,5.0,True,158.0
Fernando Verdasco,Clay,2.0,True,94.0
Fernando Verdasco,Clay,5.0,True,117.0
Fernando Verdasco,Clay,5.0,True,87.0
Fernando Verdasco,Clay,5.0,True,82.0
Fernando Verdasco,Clay,3.0,True,127.0
Fernando Verdasco,Clay,15.0,True,182.0
Fernando Verdasco,Clay,2.0,True,93.0
Richard Gasquet,Clay,0.0,False,63.0
Fernando Verdasco,Clay,4.0,True,89.0
Fernando Verdasco,Clay,7.0,True,100.0
Fernando Verdasco,Clay,6.0,True,132.0
Fernando Verdasco,Clay,7.0,True,143.0
Fernando Verdasco,Clay,7.0,True,137.0
Xavier Malisse,Clay,4.0,False,122.0
Fernando Verdasco,Clay,6.0,True,94.0
Fernando Verdasco,Clay,3.0,True,108.0
Fernando Verdasco,Clay,5.0,True,168.0
Philipp Kohlschreiber,Clay,3.0,False,157.0
Fernando Verdasco,Clay,15.0,True,113.0
Fernando Verdasco,Clay,1.0,True,83.0
Fernando Verdasco,Clay,3.0,True,127.0
Nicolas Almagro,Clay,5.0,False,109.0
Fernando Verdasco,Clay,1.0,True,174.0
Fernando Verdasco,Clay,5.0,True,156.0
Fernando Verdasco,Clay,3.0,True,143.0
Mikhail Youzhny,Clay,8.0,False,120.0
Fernando Verdasco,Clay,8.0,True,116.0
Fernando Verdasco,Clay,5.0,True,100.0
Fernando Verdasco,Clay,4.0,True,154.0
David Ferrer,Clay,6.0,False,137.0
Fernando Verdasco,Clay,0.0,True,146.0
Fernando Verdasco,Clay,3.0,True,90.0
Fernando Verdasco,Hard,12.0,True,119.0
Fernando Verdasco,Hard,8.0,True,109.0
Feliciano Lopez,Hard,10.0,False,81.0
Fernando Verdasco,Hard,9.0,True,125.0
Andy Murray,Hard,5.0,False,120.0
Fernando Verdasco,Hard,1.0,True,30.0
Fernando Verdasco,Hard,21.0,True,139.0
Tommy Haas,Hard,1.0,False,111.0
Fernando Verdasco,Hard,9.0,True,152.0
Fernando Verdasco,Hard,6.0,True,88.0
Fernando Verdasco,Hard,9.0,True,164.0
Fernando Verdasco,Hard,8.0,True,125.0
Jarkko Nieminen,Hard,2.0,False,105.0
Fernando Verdasco,Hard,10.0,True,90.0
Fernando Verdasco,Hard,13.0,True,160.0
Fabio Fognini,Hard,3.0,False,151.0
Fernando Verdasco,Hard,7.0,True,98.0
Fernando Verdasco,Hard,14.0,True,138.0
David Nalbandian,Hard,5.0,False,109.0
Fernando Verdasco,Hard,16.0,True,196.0
David Ferrer,Hard,7.0,False,188.0
Fernando Verdasco,Hard,12.0,True,104.0
Fernando Verdasco,Hard,9.0,True,93.0
Fernando Verdasco,Hard,18.0,True,156.0
Tommy Haas,Hard,22.0,False,167.0
Fernando Verdasco,Hard,7.0,True,107.0
John Isner,Hard,13.0,False,97.0
Fernando Verdasco,Hard,4.0,True,92.0
Fernando Verdasco,Hard,4.0,True,196.0
Fernando Verdasco,Hard,9.0,True,147.0
Fernando Verdasco,Hard,5.0,True,91.0
Gilles Simon,Hard,2.0,False,58.0
Fernando Verdasco,Hard,1.0,True,121.0
Fernando Verdasco,Hard,11.0,True,105.0
Fernando Verdasco,Hard,10.0,True,93.0
Fernando Verdasco,Hard,5.0,True,115.0
Fernando Verdasco,Hard,13.0,True,160.0
Novak Djokovic,Hard,5.0,False,142.0
Fernando Verdasco,Hard,12.0,True,156.0
Fernando Verdasco,Hard,7.0,True,102.0
Tommy Robredo,Hard,0.0,False,68.0
Fernando Verdasco,Hard,11.0,True,149.0
Fernando Verdasco,Grass,12.0,True,93.0
Fernando Verdasco,Grass,16.0,True,159.0
Fernando Verdasco,Grass,12.0,True,113.0
Fernando Verdasco,Grass,27.0,True,210.0
Fernando Verdasco,Grass,17.0,True,161.0
Fernando Verdasco,Grass,20.0,True,131.0
Xavier Malisse,Grass,7.0,False,109.0
Fernando Verdasco,Grass,15.0,True,122.0
Julien Benneteau,Grass,7.0,False,101.0
Fernando Verdasco,Grass,7.0,True,91.0
Fernando Verdasco,Grass,9.0,True,98.0
Fernando Verdasco,Grass,12.0,True,116.0
Fernando Verdasco,Grass,22.0,True,141.0
Fernando Verdasco,Grass,12.0,True,171.0
Radek Stepanek,Grass,6.0,False,178.0
Fernando Verdasco,Grass,15.0,True,84.0
Fernando Verdasco,Grass,20.0,True,146.0
Fernando Verdasco,Grass,16.0,True,123.0
Fernando Verdasco,Grass,2.0,True,92.0
Philipp Kohlschreiber,Grass,2.0,False,68.0
Fernando Verdasco,Grass,15.0,True,139.0
Fernando Verdasco,Grass,11.0,True,91.0
Tomas Berdych,Grass,4.0,False,63.0
Fernando Verdasco,Grass,7.0,True,100.0
Fernando Verdasco,Grass,7.0,True,95.0
Andreas Seppi,Grass,7.0,False,68.0
Fernando Verdasco,Grass,8.0,True,136.0
Fernando Verdasco,Grass,16.0,True,165.0
Fernando Verdasco,Grass,3.0,True,140.0
David Nalbandian,Grass,8.0,False,126.0
Fernando Verdasco,Grass,12.0,True,108.0
Tommy Robredo,Grass,0.0,False,76.0
Fernando Verdasco,Grass,15.0,True,87.0
Fernando Verdasco,Hard,27.0,False,152.0
